id,date,dow,opponent,opponentType,opponentCustom,stance,stadium,stadiumType,stadiumCustom,cancel,scoreMyTeam,scoreOpponent,comment,satisfaction
1777304845475,2022-03-05,土曜日,東京ヤクルトスワローズ,東京ヤクルトスワローズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,5,1,,3
1777304881002,2020-10-20,火曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,6,1,,3
1777304932262,2020-10-13,火曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,4,2,,3
1777304972430,2020-09-09,水曜日,読売ジャイアンツ,読売ジャイアンツ,メキシコ,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,4,5,坂本3打席連続ホームラン,2
1777305003914,2020-02-29,土曜日,広島東洋カープ,広島東洋カープ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,3,1,,3
1777305043262,2019-09-18,水曜日,オリックス・バファローズ,オリックス・バファローズ,,ホーム,ナゴヤ球場,__other__,ナゴヤ球場,false,5,7,初2軍戦（ナゴヤ球場）,2
1777305074257,2019-09-06,金曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,8,4,,3
1777305132203,2019-08-20,火曜日,読売ジャイアンツ,読売ジャイアンツ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,1,2,,2
1777305170142,2019-08-12,月曜日,阪神タイガース,阪神タイガース,メキシコ,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,5,1,梅津プロ初勝利,3
1777305208789,2019-06-20,木曜日,埼玉西武ライオンズ,埼玉西武ライオンズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,1,2,,2
1777305262363,2019-05-07,火曜日,広島東洋カープ,広島東洋カープ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,6,0,,3
1777305292974,2019-03-23,土曜日,東北楽天ゴールデンイーグルス,東北楽天ゴールデンイーグルス,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,4,3,,3
1777305330042,2019-03-19,火曜日,オリックス・バファローズ,オリックス・バファローズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,4,1,,3
1777305398075,2019-03-10,日曜日,メキシコ,__intl__,メキシコ,ホーム,京セラドーム大阪,京セラドーム大阪,,false,6,0,侍ジャパン壮行試合、吉田満塁弾,4
1777305439037,2018-09-28,金曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,4,3,,3
